제품 번호,제품명,Top Note,Middle Note,Base Note,브랜드,부향률,가격,설명
0,겐조 플라워 바이 겐조 오 드 퍼퓸,"블랙커런트, 산사나무, 불가리안 로즈","오포포낙스, 자스민, 파라마 바이올렛, 로즈, 머스크","바닐라, 인센스",겐조,오 드 퍼퓸,"106,000",
1,겐조 뿌르팜므 EDT,"만다린, 그린 블랙커런트",라즈베리 잎사귀,매그놀리아 꽃잎,겐조,오 드 뚜왈렛,"45,000",
2,겐조 우먼 EDT,"라일락, 만다린, 워터민트","아마릴리스, 수련, 복숭아","머스크, 삼나무, 바닐라",겐조,오 드 뚜왈렛,"50,900",
3,겐조 뉴 플라워 바이 겐조 EDT,시칠리아 레몬,불가리아 로즈 워터,"머스크, 바닐라",겐조,오 드 뚜왈렛,"64,000",
4,겔랑 아쿠아 알레고리아 페라 그라니타 오 드 뚜왈렛,"자몽, 레몬, 베르가못","배, 오렌지 블로썸, 오스만투스, 헤디온","머스크, 세다, 모스",겔랑,오 드 뚜왈렛,"158,000",
5,겔랑 몽 겔랑 오 드 퍼퓸,"라벤더, 베르가못","자스민 삼박, 아이리스, 로즈","타히티산 바닐라, 오스트렐리아산 샌달우드, 쿠마린, 벤조인, 리커리쉬, 패출리",겔랑,오 드 퍼퓸,"176,000",
6,겔랑 라 쁘띠 로브 느와르 오 드 퍼퓸,"블루베리, 베르가못, 라즈베리","로즈, 오렌지 블로썸, 자스민 삼박","솜사탕, 샌달우드, 패출리, 머스크",겔랑,오 드 퍼퓸,"176,000",
7,플로라 바이 구찌 아름다운 가르데니아 오 드 뚜왈렛,"레드 베리, 페어","가르데니아, 프렌지파니","파출리, 브라운 슈거 어코드",구찌,오 드 뚜왈렛,"112,000",
8,로즈 드 끌로에 EDT,"베르가못, 핑크 작약, 리치, 레몬","다마스크 로즈, 매그놀리아","머스크, 앰버",끌로에,오 드 뚜왈렛,"74,500",
9,대니멕켄지 밤쉘,"작약, 그린애플","바닐라꽃, 난초, 블루베리","무화가, 머스크, 오크모스",대니멕켄지,,"126,000",
10,더페이스샵 소울 시크릿 블라썸,"레몬티, 그린티 잎, 라일락, 오스만투스","레드 피오니, 복숭아꽃, 위스테리아","화이트 샌달우드, 프레셔스 앰버, 소프트 머스크",더 페이스샵,,"16,000",
11,더페이스샵 소울 프로미스 링,"시트러스, 프루티","플로랄, 머스크, 아로마틱","오리엔탈, 머스크, 우디",더 페이스샵,,"16,000",
12,미스 디올 블루밍 부케 룰러 펄 오 드 뚜왈렛,칼라브리아 베르가못,"피오니, 다마스커스 로즈",화이트머시크,디올,오 드 뚜왈렛,"59,000",
13,딥디크 롬브로 단 로 오 드 퍼퓸,불가리안 로즈,커런트 잎,앰버,딥디크,오 드 퍼퓸,"235,000",
14,딥디크 오 로즈 오 드 뚜왈렛,"블랙커런트, 다마스커스 로즈, 베르가못","센티폴리아 로즈 에센스, 제라늄","시더우드, 우디",딥디크,오 드 뚜왈렛,"199,000",
15,딥디크 베티베리오 오 드 뚜왈렛,"베르가못, 자몽, 아말피 레몬, 만다린 오렌지","제라늄, 일랑일랑, 로즈, 당근 씨앗, 넛맥, 클로브","베티버, 머스크, 버지니아 시더",딥디크,오 드 뚜왈렛,"175,000",
16,딥디크 도 손 오 드 뚜왈렛,"아프리카 오렌지 플라워, 로즈, 아이리스","튜베로즈, 핑크페퍼","벤조인, 머스크",딥디크,오 드 뚜왈렛,"175,000",
17,딥디크 플레르 드 뽀 오 드 퍼퓸,"알데하이드, 베르가못, 핑크페퍼, 안젤리카","아이리스, 로즈","가죽, 머스크, 샌달우드, 용연향, 암브레트, 앰버우드",딥디크,오 드 퍼퓸,"210,000",
18,딥디크 필로시코스 오 드 뚜왈렛,"무화과 잎, 무화과","그린 노트, 코코넛","무화과 나무, 우디, 시더",딥디크,오 드 뚜왈렛,"175,000",
19,딥디크 탐 다오 오 드 퍼퓸,"로즈 나무, 편백가지, 도금양",샌달우드,머스크,딥디크,오 드 퍼퓸,"210,000",
20,딥디크 오 데 썽 오 드 뚜왈렛,"비터 오렌지, 시트러스 노트","오렌지 플라워, 주니퍼베리","파출리, 우디",딥디크,오 드 뚜왈렛,"175,000",
21,랑방 루머 2 로즈 오 드 퍼퓸,"오렌지, 레몬, 베르가못, 그레이프 후르츠","화이트 로즈, 프루티 다마스콘, 허니써클","머스크, 우드, 앰버",랑방,오 드 퍼퓸,"81,000",
22,랑방 에끌라 드 아르페,"라일락, 레몬","그린티 잎, 복숭아나뭇잎, 피오나","시더우드, 머스크, 앰버",랑방,,"46,000",
23,랑방 메리미 오 드 퍼퓸,"비터 오렌지 에센스, 화이트 피치, 프리지어 부케","삼박 재스민 압솔귀, 매그놀리아 브리즈, 로즈 메탈","화이트 시더, 바이브런터 앰버, 머스크 베일",랑방,오 드 퍼퓸,"39,000",
24,랑방 모던 프린세스 오 드 퍼퓸,"핑크 레이드 애플, 레드 커런트","자스민, 프리지아","바닐라, 오키드, 머스크",랑방,오 드 퍼퓸,"58,000",
25,랑방 잔느 오 드 퍼퓸,"세드라, 배, 블랙베리","화이트 프리지아, 벨벳 후레시 부케","앰버그리스, 샌달우드, 머스크",랑방,오 드 퍼퓸,"89,000",
26,랑방 걸 인 카프리 오 드 뚜왈렛,"프리오피오레 레몬 오일, 베르가못","그레이프 프릇 플라워, 바닷바람","유목, 머스크 칵테일",랑방,오 드 뚜왈렛,"69,000",
27,로이비 피오니 앤 머스크,"자몽, 카시스","작약, 불가리안 로즈","머스크, 오리스",로이비,오 드 퍼퓸,"109,000",
28,로이비 베르가못 앤 화이트 로즈,"베르가못, 배","화이트 로즈, 화이트 프리지어 ","화이트 앰버, 파출리",로이비,오 드 퍼퓸,"109,000",
29,로이비 휘그 앤 시더우드,"무화과, 베르가못","파라디손, 자스민 페탈","시더우드, 드라이우드",로이비,오 드 퍼퓸,"109,000",
30,로이비 로터스 앤 인센스,"자몽, 당근","로터스, 하이산스","인센스, 모스",로이비,오 드 퍼퓸,"109,000",
31,로이비 만다린 앤 샌달우드,"만다린, 자몽","오렌지 플라워, 스피어민트","샌달우드, 앰버",로이비,오 드 퍼퓸,"109,000",
32,로이비 샤프론 앤 오렌지 블로썸,"샤프론, 오렌지 블로썸","자스민, 앰버그리스","시더우드, 발삼 퍼",로이비,오 드 퍼퓸,"109,000",
33,마녀공장 바닐라부티크,"베르가못, 애플","피치, 자스민","로즈, 로즈애플",마녀공장,오 드 뚜왈렛,"39,000",
34,마크 제이콥스 데이지 오 쏘 프레쉬 오 드 뚜왈렛,"라즈베리, 자몽, 배","파일드로즈, 바이올렛, 애플블라썸","플럼, 머스크, 시더우드",마크 제이콥스,오 드 뚜왈렛,"93,000",
35,바이레도 블랑쉬,"화이트 로즈, 핑크페퍼, 알데히드","바이올렛, 네롤리, 작약","블론드 우드, 샌달우드, 머스크",바이레도,오 드 퍼퓸,"250,000",
36,바이레도 인플로레센스,"로즈 잎, 핑크 프리지아","매그놀리아, 은방울꽃",후레쉬 자스민,바이레도,오 드 퍼퓸,"228,000",
37,바이레도 라 튤립 오 드 퍼퓸,"루바브, 시클라멘, 후리지아",튤립,"블론드 우드, 베티버",바이레도,오 드 퍼퓸,"240,000",
38,바이레도 로즈 오브 노 맨즈 랜드 오 드 퍼퓸,"자몽, 터키쉬 로즈페탈",로즈 앱솔루트,"시트러스, 모스, 머스크, 파피루스, 앰버",바이레도,오 드 퍼퓸,"230,000",
39,버버리 브릿 쉬어 포 우먼 EDT,"리치, 유자, 파인애플 잎, 만다린 오렌지","핑크피오니, 피치블로썸, 배","머스크, 우디",버버리,오 드 뚜왈렛,"41,000",
40,버버리 위크앤드 포 우먼 오 드 퍼퓸,"탠저린, 수액, 레세다","와일드 로즈, 복숭아 꽃, 아이리스, 히아신스, 넥타린","시더우드, 샌달우드",버버리,오 드 퍼퓸,"47,800",
41,버버리 클래식 우먼 오 드 퍼퓸,"복숭아, 살구, 자두","자스민, 백단, 서양 삼나무","머스크, 앰버, 샌달우드, 바닐라",버버리,오 드 퍼퓸,"48,500",
42,베르사체 브라이트 크리스탈 오 드 뚜왈렛,"석류, 유자, 아이스어코드","목련, 작약, 연꽃","베지터블, 앰버, 머스크",베르사체,오 드 뚜왈렛,"49,000",
43,불가리 옴니아 아메시스트 오 드 뚜왈렛,"홍자몽, 오렌지","불가리아 로즈버드, 아이리스, 로즈","태양나무, 머스크",불가리,오 드 뚜왈렛,"65,000",
44,불가리 쁘띠마망 오 드 뚜왈렛,"베르가못, 오렌지, 로즈우드","해바라기, 야생 로즈, 캐모마일","백복숭아, 아이리스, 백합",불가리,오 드 뚜왈렛,"75,800",
45,불가리 옴니아 크리스탈린 EDT,"대나무, 배","연꽃, 찻잎, 카시아","머스크, 유창목, 오크 모스",불가리,오 드 뚜왈렛,"79,900",
46,불가리 옴니아 코랄 EDT,"베르가못, 구기자","히비스커스 플라워, 수련","석류, 삼나무",불가리,오 드 뚜왈렛,"79,400",
47,샤넬 넘버5 오 드 퍼퓸,"알데하이드, 네롤리, 일랑일랑, 베르가못, 레몬","아이리스, 오리스뿌리, 자스민, 은방울꽃, 로즈","앰버, 샌달우드, 파출리, 머스크, 사향고양이, 바닐라, 오크모스, 베티버",샤넬,오 드 퍼퓸,"227,000",
48,샤넬 넘버5 로 드 스프레이 EDT,"레몬, 만다린, 오렌지","자스민, 베티베, 시더",머스크,샤넬,오 드 뚜왈렛,"213,000",
49,샤넬 가브리엘 오 드 퍼퓸,오렌지 블로썸,"자스민, 일랑일랑",그라스 튜베로즈,샤넬,오 드 퍼퓸,"145,000",
50,샤넬 코코 느와르 오 드 빠르펭,"핑크 페퍼, 그레이프 후르츠","자스민, 로즈","우드, 화이트",샤넬,오 드 빠르펭,"157,000",
51,샤넬 코코 마드모아젤 오 드 빠르펭,"오렌지, 오렌지 블로썸, 베르가못","미모사, 자스민, 로즈, 일랑일랑","베티베르, 패출리, 통카 빈, 미르, 바닐라, 머스크",샤넬,,"145,000",
52,샤넬 블루 드 샤넬 오 드 빠르펭,"넛맥, 진저, 인센스, 자몽, 민트, 핑크페퍼, 통카빈","앰버, 드라이 시더우드, 베티버, 파출리","머스크, 우디, 뉴칼레도니아 샌달우드",샤넬,오 드 빠르펭,"127,000",
53,샤넬 샹스 오 땅드르 오 드 빠르펭,"자몽, 퀸시","자스민, 히야신스","머스크, 아이리스, 앰버, 버지니아 시더",샤넬,오 드 빠르펭,"242,000",
54,아쿠아 디 파르마 미르토 디 파나레아 오 드 뚜왈렛,"레몬, 베르가못","마린 브리즈, 자스민, 로즈","주니퍼, 시더우드, 앰버",아쿠아 디 파르마,오 드 뚜왈렛,"230,000",
55,안나수이 럭키위시 오 드 뚜왈렛,"레몬, 멜론, 금잔화","파인애플, 블랙커런트","화이트 시더우드, 앰버, 스킨 무스크",안나수이,오 드 뚜왈렛,"57,000",
56,안나수이 라뉘드보헴 오 드 뚜왈렛,"샴페인, 시트러스, 미드나잇 블랙베리, 골든 애플","루터스 플라워, 로즈페탈","시더우드, 인도네시안, 파출리, 바닐라",안나수이,오 드 뚜왈렛,"62,000",
57,안나수이 판타지아 EDT,"핑크 포멜로, 카시스, 핑크페퍼","바이올렛, 오렌지 플라워, 파스텔오키드, 라즈베리 프랄린","골든 사이프레스, 히말라야 시더우드",안나수이,오 드 뚜왈렛,"62,000",
58,에이딕트 보이드우드,그린잎,자스민,시더우드,에이딕트,,"59,000",
59,에이딕트 잇더피치 EDP,애플,피치,샌달우드,에이딕트,,"59,000",
60,유즈 스테이포에버 퍼퓸 002,"오렌지, 베르가못, 레몬","자스민, 아이리스, 네롤리","머스크, 시더우드, 앰버, 벤조인, 베티버",유즈,오 드 퍼퓸,"39,000",
61,이솝 테싯 오 드 퍼퓸,"유자, 바질 그랜드 베르트, 클로브","로즈마리, 민트, 펜넬","시더우드, 베티버 하트, 앰버",이솝,오 드 퍼퓸,"140,000",
62,제니퍼로페즈 글로우 바이제이로 EDT,"오렌지 플라워, 자몽, 네롤리","핑크 로즈 꽃잎, 샌달우드, 소프트 앰버","자스민, 아이리스, 소프트 머스크, 바닐라",제니퍼로페즈,,"87,000",
63,조말론 허니서클 앤 다바나,다바나,허니서클,모스,조말론,,"107,000",
64,조말론 런던 잉글리쉬 페어 앤 프리지아 코롱,"킹 윌리엄 페어, 멜론","프리지아, 로즈","파출리, 앰버, 머스크",조말론,,"94,000",
65,조말론 스타 매그놀리아 코롱,레몬,스타 매그놀리아,샌달우드,조말론,,"225,000",
66,조말론 오스맨터스 블로썸 코롱,프티그레인,오스맨터스,캐시미어 우드,조말론,,"160,000",
67,조말론 라임 바질 앤 만다리,만다린,바질,앰버우드,조말론,,"189,000",
68,조말론 워터릴리 코롱,네롤리,워터릴리,머스크,조말론,,"194,000",
69,조말론 자몽,자몽,로즈마리,모스,조말론,,"160,000",
70,지미추 아이 원 추 EDP,"만다린 주스, 벨벳 피치","레드 스파이더 릴리, 자스민 삼박","바닐라, 벤조인 레지노이드",지미추,,"116,000",
71,지미추 EDT,"그린 페어, 스위트 진저","티 로즈, 타이거 오키드","바이브런트 우드, 시더우드",지미추,,"69,000",
72,코치 오드트왈렛,"페어, 만다린, 핑크 자몽, 리치","화이트 알바 로즈, 불가리아 로즈, 삼박 자스민","화이트 시더우드, 머스크, 샌달우드, 오크모스",코치,오 드 뚜왈렛,"85,000",
73,코치 드림 EDP,"비터 오렌지, 배","가드니아, 선인장 꽃","조슈아 트리, 앰브록산",코치,오 드 퍼퓸,"93,000",
74,코치 플로럴 EDP,"구기 열매, 자몽","피오니, 복숭아","화이트우드, 머스크",코치,오 드 퍼퓸,"125,000",
75,코치 플로럴 블러쉬 오 드 퍼퓸,"구기 열매, 자몽","피오니, 복숭아","화이트우드, 머스크",코치,오 드 퍼퓸,"90,000",
76,코치 우먼 오 드 뚜왈렛,"워터릴리, 만다린 오렌지, 바이올렛, 구아바","자스민, 아프리카 오렌지꽃, 월하향, 미모사","버지니아 시더, 앰버",코치,오 드 뚜왈렛,"85,000",
77,티파니앤코 쉬어 오 드 뚜왈렛,블랙커런트,일랑일랑,아이리스,티파니앤코,오 드 뚜왈렛,"158,900",
78,페라리 라이트 에센스 오 드 뚜왈렛,"레몬, 블랙커런트, 배","그린티, 복숭아","샌달우드, 머스크",페라리,오 드 뚜왈렛,"57,000",
79,펜할리곤스 루나 오 드 뚜왈렛,"베르가못 오일, 레몬프리모 오일","로즈, 재스민, 주니퍼베리 오일","발삼 퍼, 용연향, 머스크",펜할리곤스,오 드 뚜왈렛,"286,000",
80,포맨트 시그니처 퍼퓸 코튼 허그,은방울,"로즈, 자스민, 오렌즈 플라워","파출리, 시더우드, 머스크, 앰버",포맨트,,"39,000",
81,포맨트 시그니처 퍼퓸 코튼메모리,"자몽, 복숭아","자스민, 히아신스, 오렌지 플라워","머스크, 코튼, 앰버",포맨트,퍼퓸,"49,000",
82,SW19 6am,"베르가못, 자몽, 팔각씨","클라리세이지, 바질, 카다멈","머스크, 웜우드, 세다우드",SW19,오 드 퍼퓸,"89,000",
83,SW19 Noon,"그린리프, 아쿠아, 민트, 아몬드블러썸","베티버, 라벤더, 릴리","오리스, 세다우드, 앰버, 머스크",SW19,오 드 퍼퓸,"89,000",
84,SW19 3pm,"베르가못, 루바브, 귤","세다우드, 자스민, 치자","머스크, 베티버, 오리스",SW19,오 드 퍼퓸,"89,000",
85,SW19 9pm,"핑크페퍼, 오렌지 플라워, 정향, 마시멜로 어코드","밤 어코드, 가이악나무, 케이드","샌달우드, 바닐라, 페루 발삼, 캐시메란",SW19,오 드 퍼퓸,"89,000",
86,SW19 Midnight,"릴리, 화이트선인장","머스크, 파우더리","머스크, 센달우드, 벤조인",SW19,오 드 퍼퓸,"89,000",
87,구찌 블룸 우먼 오 드 뚜왈렛,"오렌지, 그린노트","튜베로즈, 자스민, 허니서클","오리스루트, 샌달우드, 바닐라",구찌,오 드 뚜왈렛,"139,000",
88,구찌 러쉬2 오 드 뚜왈렛,"수선화, 은방울 꽃, 야자나무","후리지아, 로즈, 치자나무","블랙커런트, 머스크, 오크모스",구찌,오 드 뚜왈렛,"195,000",
89,구찌 길티 우먼 오 드 뚜왈렛,"만다린, 핑크페퍼","피치, 라일락, 제라늄","엠버리노트, 파출",구찌,오 드 뚜왈렛,"120,000",
90,구찌 플로라 바이 구찌 고져스 가드니아 오 드 뚜왈렛,"레드베리, 페어","가드니아, 프렌치 파니","파출리, 브라운 슈가",구찌,오 드 뚜왈렛,"139,000",
91,구찌 엔비,"풀향기, 히야신스, 목련꽃","백합, 자스민, 바이올렛","아이리스, 목단, 머스크",구찌,오 드 뚜왈렛,"48,000",
92,디올 미스 디올 오 드 퍼퓸,이탈리안 만다린,"이집트 자스민, 로즈","파출리, 머스크",디올,오 드 퍼퓸,"115,000",
93,필로소피 퓨어 그레이스 누드 로즈 프레그런스 EDT,네롤리,센타폴리아 로즈,써키스드 머스크,필로소피,오 드 뚜왈렛,"69,000",
94,필로소피 어메이징 그레이스 발레 로즈 오 드 뚜왈렛,리치,"이슬 맻힌 작약, 로즈 앱솔루트",발레 핑크 머스크,필로소피,오 드 뚜왈렛,"69,000",
95,필로소피 퓨어그레이스 프레그런스 EDT,"베르가못, 라벤더",뮤게,머스크,필로소피,오 드 뚜왈렛,"69,000",
96,필로소피 어메이징 그레이스 오 드 뚜왈렛,베르가못,뮤게,머스크,필로소피,오 드 뚜왈렛,"69,000",
97,돌체앤가바나 뷰티 라이트 블루 오 드 뚜왈렛,"시더, 그린 애플, 블루벨","대나무, 자스민, 로즈","시트론 우드, 앰버, 머스크",돌체앤가바나 뷰티,오 드 뚜왈렛,"66,000",
98,돌체앤가바나 뷰티 로즈 더 원 우먼 오 드 퍼퓸,"블랙커런트, 핑크자몽, 만다린, 은방울 꽃","로즈, 리치, 피오나, 마돈나 릴리","암브레시드, 샌달우드, 머스크, 바닐라",돌체앤가바나 뷰티,오 드 퍼퓸,"58,000",